"X","Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta","Months","Year","Day","Month_Year","market_direction","earlier_price_1"
2969,"2018-02-08",0.729252,0.80697,0.722611,0.805263,947315000,28447500000,"XRP",0.104231459084103,"02","2018","08","2018-02","Up",0.197315402564167
2970,"2018-02-07",0.774576,0.805478,0.70695,0.723895,1133370000,30215600000,"XRP",-0.0654306355993474,"02","2018","07","2018-02","Down",0.104231459084103
2971,"2018-02-06",0.705121,0.786004,0.58836,0.776393,2361140000,27506200000,"XRP",0.101077687375642,"02","2018","06","2018-02","Up",-0.0654306355993474
2972,"2018-02-05",0.825943,0.833866,0.675827,0.691799,1286180000,32219400000,"XRP",-0.162413144732748,"02","2018","05","2018-02","Down",0.101077687375642
2973,"2018-02-04",0.913418,0.952947,0.796821,0.815703,1190960000,35631700000,"XRP",-0.106977309402705,"02","2018","04","2018-02","Down",-0.162413144732748
2974,"2018-02-03",0.891992,0.974799,0.761635,0.924043,1988960000,34795900000,"XRP",0.0359319366092969,"02","2018","03","2018-02","Up",-0.106977309402705
2975,"2018-02-02",0.960642,0.960642,0.635185,0.884784,3529760000,37473900000,"XRP",-0.0789659415266041,"02","2018","02","2018-02","Down",0.0359319366092969
2976,"2018-02-01",1.16,1.16,0.930378,0.96253,1410420000,44971500000,"XRP",-0.17023275862069,"02","2018","01","2018-02","Down",-0.0789659415266041
2977,"2018-01-31",1.13,1.19,1.04,1.16,1264030000,43800800000,"XRP",0.0265486725663717,"01","2018","31","2018-01","Up",-0.17023275862069
2978,"2018-01-30",1.33,1.33,1.13,1.14,1134640000,51452400000,"XRP",-0.142857142857143,"01","2018","30","2018-01","Down",0.0265486725663717
2979,"2018-01-29",1.4,1.41,1.3,1.32,1073680000,54204300000,"XRP",-0.057142857142857,"01","2018","29","2018-01","Down",-0.142857142857143
2980,"2018-01-28",1.22,1.44,1.22,1.4,1327360000,47412500000,"XRP",0.147540983606557,"01","2018","28","2018-01","Up",-0.057142857142857
2981,"2018-01-27",1.22,1.24,1.19,1.22,689101000,47180200000,"XRP",0,"01","2018","27","2018-01","Up",0.147540983606557
2982,"2018-01-26",1.31,1.33,1.14,1.22,2037570000,50706400000,"XRP",-0.0687022900763359,"01","2018","26","2018-01","Down",0
2983,"2018-01-25",1.36,1.38,1.29,1.31,986068000,52811100000,"XRP",-0.036764705882353,"01","2018","25","2018-01","Down",-0.0687022900763359
2984,"2018-01-24",1.35,1.42,1.31,1.36,1853440000,52380100000,"XRP",0.00740740740740741,"01","2018","24","2018-01","Up",-0.036764705882353
2985,"2018-01-23",1.35,1.43,1.2,1.34,2977080000,52421300000,"XRP",-0.00740740740740741,"01","2018","23","2018-01","Down",0.00740740740740741
2986,"2018-01-22",1.39,1.43,1.16,1.36,2642510000,53909800000,"XRP",-0.0215827338129495,"01","2018","22","2018-01","Down",-0.00740740740740741
2987,"2018-01-21",1.58,1.58,1.34,1.38,2840750000,61061900000,"XRP",-0.126582278481013,"01","2018","21","2018-01","Down",-0.0215827338129495
2988,"2018-01-20",1.56,1.63,1.5,1.58,2346450000,6.0543e+10,"XRP",0.0128205128205128,"01","2018","20","2018-01","Up",-0.126582278481013
2989,"2018-01-19",1.58,1.7,1.5,1.55,3697430000,61291900000,"XRP",-0.0189873417721519,"01","2018","19","2018-01","Down",0.0128205128205128
2990,"2018-01-18",1.31,1.73,1.26,1.6,9110440000,50577100000,"XRP",0.221374045801527,"01","2018","18","2018-01","Up",-0.0189873417721519
2991,"2018-01-17",1.18,1.38,0.897797,1.31,7251210000,45854700000,"XRP",0.110169491525424,"01","2018","17","2018-01","Up",0.221374045801527
2992,"2018-01-16",1.68,1.7,0.909313,1.18,5687960000,65018400000,"XRP",-0.297619047619048,"01","2018","16","2018-01","Down",0.110169491525424
2993,"2018-01-15",1.86,1.9,1.67,1.68,1838460000,71909400000,"XRP",-0.0967741935483872,"01","2018","15","2018-01","Down",-0.297619047619048
2994,"2018-01-14",2.02,2.02,1.81,1.86,1978200000,78195800000,"XRP",-0.0792079207920792,"01","2018","14","2018-01","Down",-0.0967741935483872
2995,"2018-01-13",2.05,2.12,1.98,2.02,2130170000,79469700000,"XRP",-0.0146341463414633,"01","2018","13","2018-01","Down",-0.0792079207920792
2996,"2018-01-12",1.94,2.16,1.87,2.04,3330810000,75172500000,"XRP",0.0515463917525774,"01","2018","12","2018-01","Up",-0.0146341463414633
